Benchmark,SRRIP Speedup,SRRIP_max Speedup,SRRIP_min Speedup,
623.xalancbmk_s-165B.champsimtrace.xz,1.00296213293059,1.00296213293059,1.00296213293059,1
429.mcf-184B.champsimtrace.xz,1.04783873998427,1.04765847585148,1.04681215102468,0.999827965768104
605.mcf_s-994B.champsimtrace.xz,0.991902932010046,0.991739538261369,0.991806106084904,0.999835272441079
450.soplex-247B.champsimtrace.xz,1.05269778987529,1.05278390349284,1.0527651831412,1.00008180279125
623.xalancbmk_s-700B.champsimtrace.xz,1.0039340457548,1.00480756969063,1.00433255119998,1.000870100919
429.mcf-192B.champsimtrace.xz,1.0568074300031,1.05692248302589,1.05530114371788,1.00010886848401
450.soplex-92B.champsimtrace.xz,1.07341425616308,1.07310362719062,1.07329136997617,0.999710615942835
605.mcf_s-665B.champsimtrace.xz,1.02491495816861,1.02481466313405,1.02373231255276,0.999902143066836
605.mcf_s-782B.champsimtrace.xz,1.10708501879874,1.10694946814203,1.10621464089777,0.999877560752421
605.mcf_s-1644B.champsimtrace.xz,1.00543920720923,1.00595154543668,1.004674209034,1.00050956658918
429.mcf-217B.champsimtrace.xz,0.983904380234467,0.980719860460984,0.983188915439543,0.996763384900549
483.xalancbmk-736B.champsimtrace.xz,0.997778628689808,0.997878038124132,0.997317172550232,1.00009963075122
483.xalancbmk-716B.champsimtrace.xz,0.99616122840691,0.996131547183252,0.996089993470131,0.999970204397831
